OID_,CID,avg_rain,water,vegetation,slope,rugged,productivity,geology,elevation,min_temp,aspect,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,inapp_fire,cat_den,lat,long
719,0,67.0644989,0,3,1.37562,230.9830017,0.419408,2,290.8930054,12.0129995,115.2870026,0.468064,0.321833,0.317082,0.48676,1,0.421807,0.686019,2,0.075383,0.258091,1,0,0.640121,1,0.20557,-3111162.528,1963054.187
720,0,63.5259018,1003.969971,3,4.29808,271.6180115,0.422181,4,574.8359985,11.3703003,317.5599976,0.472708,0.332347,0.274836,0.522488,0,0.404949,0.647892,1,0.079012,0.441434,1,1,0.612255,0,0.216948,-3170165.622,1949874.529
721,0,89.5378036,1428.790039,6,14.8594999,757.8449707,0.500464,2,536.7789917,9.3163795,278.4909973,0.415742,0.465934,0.60091,0.396781,0,0.581458,0.910373,0,0.0888735,0.118115,2,0,0.710985,1,0.163505,-3505787.192,1902615.749
722,0,101.314003,1446.930054,3,4.5517802,569.1060181,0.552119,4,1011.25,9.0938797,350.1610107,0.39814,0.233153,0.376122,0.148212,0,0.334809,0.909364,0,0.0521095,0.384486,1,1,0.672514,1,0.181066,-3433116.568,1943209.285
723,0,77.2522964,0,3,2.6396899,209.5180054,0.470393,4,232.4219971,11.0132999,333.9549866,0.384282,0.187651,0.308667,0.600099,0,0.584073,0.939532,0,0.145383,0.218217,0,1,0.687713,1,0.214462,-3762606.305,1736711.068
724,0,68.2474976,1000,5,6.7049799,399.3829956,0.426416,2,1007.25,7.52389,6.5116801,0.526794,0.545843,0.642656,0.0619946,0,0.375501,0.833692,1,0.114088,0.62993,2,2,0.734647,0,0.223634,-3486609.577,1868237.26
725,0,74.0593033,3005.639893,1,5.23248,228.9019928,0.449358,4,229.8910065,13.0585003,107.2419968,0.27171,0.40103,0.182814,0.676938,0,0.504792,0.718881,0,0.0617514,0.225297,1,2,0.635561,0,0.201733,-3183813.151,2017754.133
726,0,94.0698013,2426.229981,3,2.42044,347.5109863,0.503642,4,302.1679993,12.8347998,181.279007,0.326333,0.279578,0.443746,0.703291,0,0.652751,0.919964,0,0.0654068,0.18863,3,0,0.68981,1,0.175764,-3322233.245,1991886.13
727,0,67.3733978,2021.040039,4,4.56392,343.0859985,0.43835,4,464.3389893,10.4568996,131.3569946,0.507898,0.469168,0.163053,0.307807,1,0.593235,0.528188,2,0.151635,0.323811,1,3,0.700096,0,0.218464,-3653804.044,1773986.257
728,0,91.6106033,2012.51001,3,3.5216899,445.5710144,0.505129,4,422.8800049,12.3009996,255.0540009,0.273969,0.314089,0.351533,0.568293,0,0.631812,0.532811,1,0.0769537,0.357314,1,1,0.60524,0,0.188012,-3270030.464,1982943.592
