OID_,CID,aspect,elevation,geology,min_temp,productivity,rugged,slope,vegetation,water,avg_rain,inapp_fire,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,cat_den,lat,long
5604,0,184.3280029,375.5880127,4,11.1037998,0.484539,243.6560059,4.21842,5,3431.27002,73.6807022,0,0.480723,0.390402,0.209251,0.611107,1,0.633971,0.639377,2,0.114723,0.417607,0,2,0.756851,0.197714,-3687146.049,1803601.38
5605,0,316.1459961,79.4265976,4,12.6920004,0.420885,225.798996,3.2099299,3,1000,67.8543015,0,0.250712,0.320103,0.174165,0.401079,1,0.412584,0.472191,2,0.0345364,0.256559,0,1,0.471084,0.204229,-3196537.009,2010112.056
5606,0,110.0770035,531.0410156,4,11.0706997,0.52584,183.3549957,3.1984401,3,2005.609985,91.8118973,0,0.38579,0.209746,0.240831,0.653063,1,0.439914,0.887938,2,0.0790691,0.357465,1,0,0.64852,0.169321,-3228532.082,1982901.344
5607,0,121.3860016,348.2980042,4,9.7695799,0.506459,221.4920044,1.28952,3,2007.530029,78.4511032,1,0.457466,0.294657,0.354018,0.321847,0,0.64672,0.921675,0,0.142031,0.300405,0,2,0.695144,0.202348,-3756575.127,1717404.166
5608,0,288.0599976,947.5949707,2,7.08849,0.436972,327.2659912,4.54667,6,1017.869995,64.316597,0,0.486304,0.453705,0.400499,0.0514036,0,0.327732,0.541949,0,0.202301,0.618578,0,0,0.59533,0.249182,-3436746.429,1800205.931
5609,0,88.4814987,283.2099915,4,10.0628996,0.473846,98.653801,1.7756701,3,2828.459961,70.719902,1,0.462878,0.288971,0.304657,0.457904,0,0.660565,0.866554,0,0.142509,0.319151,0,2,0.70789,0.222681,-3740471.894,1729860.128
5610,0,99.5282974,119.4189987,4,12.5389996,0.37795,149.9499969,2.0747001,5,0,71.3572998,0,0.350595,0.246007,0.480363,0.303138,1,0.476637,0.330889,2,0.0632072,0.272896,1,0,0.590655,0.203128,-3083806.229,1982581.612
5611,0,226.2359924,426.4729919,1,9.5424204,0.366623,214.5370026,4.24228,5,2414.620117,57.6706009,0,0.475111,0.461715,0.0247721,0.121007,0,0.373328,0.773733,1,0.243931,0.329146,1,0,0.447766,0.230858,-3523836.257,1753985.814
5612,0,219.1049957,224.0180054,4,12.552,0.500118,235.9609985,2.87691,2,2007.920044,87.7473984,0,0.220014,0.346221,0.456423,0.50761,0,0.53976,0.878207,0,0.0462323,0.352113,2,1,0.553229,0.18733,-3273017.778,2006883.396
5613,0,238.2969971,764.2479858,1,8.31633,0.427998,402.4819946,7.4928598,5,2416.27002,62.0449982,0,0.4544,0.571801,0.342777,0.0135571,0,0.249245,0.768834,1,0.199496,0.835208,1,0,0.496369,0.226623,-3568957.233,1666959.73
5614,0,264.8619995,544.059021,4,6.5649199,0.513909,663.3619995,0.811704,3,0,119.1460037,1,0.577966,0.514144,0.0708762,0,0,0.552601,0.821456,0,0.211083,0.421217,1,0,0.788467,0.183179,-4105932.626,1315823.935
5615,0,66.2634964,487.2139893,4,10.5965004,0.565474,418.5150146,7.8021598,2,2417.25,102.8919983,0,0.475047,0.435963,0.319325,0.444423,0,0.574337,0.599727,0,0.102182,0.301732,0,3,0.760035,0.169759,-3644535.391,1845476.16
5616,0,5.2849398,749.90802,1,8.2479496,0.375184,139.1000061,2.0945001,6,1416.719971,62.0573997,0,0.483226,0.589731,0.486832,0.154509,0,0.428569,0.617157,1,0.123619,0.577565,0,0,0.591423,0.247113,-3359346.462,1839283.252
5617,0,42.1940002,831.0430298,1,7.2951899,0.409819,222.0149994,3.51438,5,1000.590027,61.9067001,0,0.588306,0.381062,0.138136,0,0,0.362291,0.814297,1,0.179009,1.497,1,1,0.609343,0.257764,-3697081.75,1637851.89
5618,0,36.3372002,326.0270081,4,10.4336004,0.467621,58.9514008,1.17954,5,1000.23999,85.3464966,1,0.493935,0.227467,0.252974,0.292027,0,0.640253,0.882039,0,0.170289,0.315566,0,1,0.676497,0.214937,-3870088.45,1706279.836
5619,0,239.4859924,451.0809937,4,6.7115502,0.454898,521.7520142,7.44278,3,0,84.8887024,1,0.61947,0.443042,0.08765,0,0,0.505507,0.808508,0,0.205411,0.369189,1,2,0.701392,0.201234,-4149366.687,1326581.147
5620,0,15.3591003,496.3439941,4,9.08634,0.39139,359.9750061,7.1125898,3,2421.429932,50.5810013,0,0.571614,0.507014,-0.102636,0,0,0.395892,0.419387,1,0.432576,0.633266,1,0,0.486257,0.248592,-3740493.859,1521386.852
5621,0,59.0906982,536.7030029,4,7.8651299,0.446113,321.196991,2.4746699,5,0,57.6537018,0,0.536221,0.404154,0.213534,0,0,0.463299,0.784747,0,0.235842,0.552456,1,2,0.540743,0.245666,-3737459.062,1667625.188
5622,0,264.7409973,834.0720215,2,4.5953302,0.499345,806.5609741,13.5773001,3,2008.680054,75.4164963,1,0.620562,0.428045,0.149234,0,0,0.799248,0.809164,0,0.156524,0.67194,2,1,0.647406,0.212238,-4146639.626,1412951.795
5623,0,235.2920074,68.1106033,4,13.0537004,0.495119,55.2515984,0.474489,3,0,88.7034988,0,0.322524,0.303575,0.333896,0.643565,0,0.637216,0.7254,1,0.0719001,0.171539,4,0,0.648774,0.192334,-3368033.636,1989983.99
5624,0,27.5790997,464.3880005,4,7.3257399,0.524384,259.2489929,4.9064002,3,0,98.8887024,0,0.570216,0.410126,0.103166,0.0009072,0,0.316501,0.740122,0,0.267644,0.908234,1,0,0.666565,0.194999,-4084934.911,1302353.535
5625,0,249.6170044,133.1929932,4,12.0992002,0.467397,217.7109985,2.46596,3,1000.049988,81.9682007,0,0.301438,0.293347,0.432329,0.520908,0,0.547083,0.784479,0,0.0819905,0.315086,1,2,0.596294,0.198977,-3300571.794,1974704.896
5626,0,111.5159988,484.8450012,4,8.8573999,0.400169,151.9649963,3.34533,5,2414.379883,58.339901,0,0.501433,0.309609,0.498703,0.15642,1,0.321731,0.712691,2,0.176981,0.70207,0,1,0.50694,0.232613,-3596284.775,1778623.68
5627,0,153.9600067,83.5419006,4,11.4272003,0.463053,171.0299988,3.06933,2,1000.01001,89.669899,0,0.344904,0.230715,0.495393,0.670222,1,0.607149,0.903935,2,0.0910767,0.309715,1,0,0.573698,0.17756,-3521025.191,1934993.286
5628,0,249.3159943,960.6939697,2,7.0202498,0.434094,319.1940002,5.6988101,4,0,64.9054031,0,0.499422,0.389801,0.522363,0.0496487,0,0.342893,0.362445,2,0.100612,0.943516,0,0,0.631287,0.24115,-3471296.221,1881353.478
5629,0,146.7599945,133.7480011,4,12.5552998,0.471375,96.0156021,1.69596,3,1001.340027,84.6175003,0,0.240093,0.28535,0.534601,0.510621,1,0.468714,0.542614,2,0.028271,0.319602,4,0,0.46787,0.19142,-3296938.615,2002621.157
5630,0,51.6896019,482.3710022,1,7.1521001,0.40701,293.6029968,1.81496,3,0,60.9686012,0,0.56431,0.458361,0.0079237,0,0,0.346223,0.628891,0,0.194918,2.4688599,1,0,0.478286,0.256766,-3963087.845,1535688.302
5631,0,45.7695999,229.1529999,4,8.7825699,0.445421,380.2290039,6.2980499,5,2828.879883,65.7043991,0,0.410092,0.265123,0.0934543,0.0125928,1,0.24564,0.481821,0,0.172068,2.2414,1,0,0.22967,0.235215,-4032699.17,1342192.179
